date,bdi
2011-01-01,1107
2011-02-01,1251
2011-03-01,1530
2011-04-01,1269
2011-05-01,1480
2011-06-01,1413
2011-07-01,1264
2011-08-01,1619
2011-09-01,1899
2011-10-01,1965
2011-11-01,1846
2011-12-01,1738
2012-01-01,680
2012-02-01,750
2012-03-01,934
2012-04-01,1155
2012-05-01,923
2012-06-01,1004
2012-07-01,897
2012-08-01,703
2012-09-01,766
2012-10-01,1026
2012-11-01,1086
2012-12-01,699
2013-01-01,760
2013-02-01,757
2013-03-01,910
2013-04-01,863
2013-05-01,809
2013-06-01,1171
2013-07-01,1062
2013-08-01,1132
2013-09-01,2003
2013-10-01,1504
2013-11-01,1821
2013-12-01,2277
2014-01-01,1110
2014-02-01,1258
2014-03-01,1362
2014-04-01,943
2014-05-01,934
2014-06-01,850
2014-07-01,755
2014-08-01,1147
2014-09-01,1063
2014-10-01,1428
2014-11-01,1153
2014-12-01,782
2015-01-01,608
2015-02-01,540
2015-03-01,602
2015-04-01,591
2015-05-01,589
2015-06-01,800
2015-07-01,1131
2015-08-01,903
2015-09-01,900
2015-10-01,721
2015-11-01,584
2015-12-01,478
2016-01-01,317
2016-02-01,329
2016-03-01,429
2016-04-01,703
2016-05-01,612
2016-06-01,660
2016-07-01,656
2016-08-01,711
2016-09-01,875
2016-10-01,857
2016-11-01,1204
2016-12-01,961
2017-01-01,800
2017-02-01,859
2017-03-01,1297
2017-04-01,1109
2017-05-01,878
2017-06-01,901
2017-07-01,946
2017-08-01,1184
2017-09-01,1356
2017-10-01,1522
2017-11-01,1578
2017-12-01,1366
2018-01-01,1152
2018-02-01,1192
2018-03-01,1055
2018-04-01,1341
2018-05-01,1090
2018-06-01,1385
2018-07-01,1747
2018-08-01,1579
2018-09-01,1540
2018-10-01,1490
2018-11-01,1231
2018-12-01,1271
2019-01-01,668
2019-02-01,658
2019-03-01,689
2019-04-01,1011
2019-05-01,1096
2019-06-01,1354
2019-07-01,1868
2019-08-01,2378
2019-09-01,1823
2019-10-01,1731
2019-11-01,1528
2019-12-01,1090
2020-01-01,487
2020-02-01,535
2020-03-01,626
2020-04-01,635
2020-05-01,504
2020-06-01,1799
2020-07-01,1350
2020-08-01,1488
2020-09-01,1725
2020-10-01,1283
2020-11-01,1227
2020-12-01,1366
2021-01-01,1452
2021-02-01,1675
2021-03-01,2046
2021-04-01,3053
2021-05-01,2596
2021-06-01,3383
2021-07-01,3292
2021-08-01,4132
2021-09-01,5167
2021-10-01,3519
2021-11-01,3018
2021-12-01,2217
2022-01-01,1418
2022-02-01,2040
2022-03-01,2358
2022-04-01,2404
2022-05-01,2566
2022-06-01,2240
2022-07-01,1895
2022-08-01,965
2022-09-01,1760
2022-10-01,1463
2022-11-01,1355
2022-12-01,1515
2023-01-01,681
2023-02-01,990
2023-03-01,1389
2023-04-01,1576
2023-05-01,977
2023-06-01,1091
2023-07-01,1127
2023-08-01,1086
2023-09-01,1701
2023-10-01,1459
2023-11-01,2937
2023-12-01,2094
2024-01-01,1398
2024-02-01,2111
2024-03-01,1821
2024-04-01,1685
2024-05-01,1815
2024-06-01,2050
2024-07-01,1708
2024-08-01,1814
2024-09-01,2084
2024-10-01,1388
2024-11-01,1354
2024-12-01,997
2025-01-01,735
2025-02-01,1229
2025-03-01,1598
2025-04-01,1386
2025-05-01,1418
2025-06-01,1489
2025-07-01,2003
2025-08-01,2025
2025-09-01,2134
2025-10-01,1966
2025-11-01,2560
2025-12-01,1877
